Dokumen,Layout,Doc Type,Bahasa,Special Issue,Skor Komposit (0–100)*|JS,Skor Komposit (0–100)*|Python,Skor Komposit (0–100)*|Diff,Text Edit ↓|JS,Text Edit ↓|Python,Text Edit ↓|Diff,Text CER ↓|JS,Text CER ↓|Python,Text CER ↓|Diff,Formula Edit ↓|JS,Formula Edit ↓|Python,Formula Edit ↓|Diff,Table TEDS ↑|JS,Table TEDS ↑|Python,Table TEDS ↑|Diff,Table TEDS-S ↑|JS,Table TEDS-S ↑|Python,Table TEDS-S ↑|Diff,Reading Order Edit ↓|JS,Reading Order Edit ↓|Python,Reading Order Edit ↓|Diff,Coverage F1 ↑|JS,Coverage F1 ↑|Python,Coverage F1 ↑|Diff,BBox IoU ↑|JS,BBox IoU ↑|Python,BBox IoU ↑|Diff
PPT_The Right Moves_page_024,single_column,PPT2PDF,english,,19.43,19.43,0.0,0.8057,0.8057,0.0,0.8057,0.8057,0.0,,,,,,,,,,,,,0.4,0.4,0.0,0.1659,0.1675,-0.001600000000000018
PPT_ch7_page_021,single_column,PPT2PDF,english,,81.33,75.87,5.459999999999994,0.1579,0.2049,-0.046999999999999986,0.1709,0.2333,-0.06240000000000001,0.2154,0.2778,-0.06239999999999998,,,,,,,0.0,0.0,0.0,0.8571,0.8571,0.0,0.9342,0.9342,0.0
PPT_ch7_page_035,single_column,PPT2PDF,english,,52.9,55.11,-2.210000000000001,0.2719,0.2621,0.009799999999999975,0.578,0.5151,0.06289999999999996,0.6701,0.6358,0.0343,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9703,0.9703,0.0
PPT_english-studies-s6-on-the-road-resource-3_page_003,single_column,PPT2PDF,english,,99.88,100.0,-0.12000000000000455,0.0012,0.0,0.0012,0.0012,0.0,0.0012,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9743,0.9743,0.0
PPT_english-studies-s6-on-the-road-resource-3_page_005,single_column,PPT2PDF,english,,80.48,80.48,0.0,0.1952,0.1952,0.0,0.1952,0.1952,0.0,,,,,,,,,,0.0,0.0,0.0,0.8,0.8,0.0,0.7541,0.7541,0.0
PPT_lay_linalg5_01_05_page_003,single_column,PPT2PDF,english,,53.14,52.34,0.7999999999999972,0.6476,0.6637,-0.016100000000000003,2.5324,2.5997,-0.06729999999999992,0.2895,0.2895,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.4895,0.4892,0.00029999999999996696
PPT_lecture1_page_022,single_column,PPT2PDF,english,,59.64,59.64,0.0,0.3734,0.3734,0.0,0.8159,0.8159,0.0,0.4338,0.4338,0.0,,,,,,,0.0,0.0,0.0,0.8571,0.8571,0.0,0.8164,0.8173,-0.0009000000000000119
PPT_linear-algebra primer_page_016,single_column,PPT2PDF,english,,64.5,64.65,-0.15000000000000568,0.2105,0.2101,0.0003999999999999837,0.2876,0.2876,0.0,0.4995,0.497,0.0025000000000000022,,,,,,,0.0,0.0,0.0,0.8571,0.8571,0.0,0.8186,0.8183,0.00029999999999996696
PPT_session 10_page_023,single_column,PPT2PDF,english,"table_fewer_line, table_horizontal",92.0,88.67,3.3299999999999983,0.08,0.1133,-0.033299999999999996,0.087,0.1203,-0.03330000000000001,,,,,,,,,,0.0,0.0,0.0,0.8,0.8,0.0,0.9518,0.9505,0.0012999999999999678
PPT_session 10_page_028,single_column,PPT2PDF,english,"table_full_line, table_horizontal",94.83,94.83,0.0,0.0517,0.0517,0.0,0.0577,0.0577,0.0,,,,,,,,,,0.0,0.0,0.0,0.8,0.8,0.0,0.9658,0.9714,-0.005600000000000049
book_en_5.Advanced.Modern.Algebra.-.J.Rotman.2003_page_887,single_column,book,english,,82.81,83.05,-0.23999999999999488,0.2012,0.1969,0.004299999999999998,0.257,0.247,0.010000000000000009,0.1425,0.1421,0.0003999999999999837,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9157,0.9157,0.0
book_en_6.Complex.Analysis.-.Elias.M..Stein_page_051,single_column,book,english,,98.16,98.41,-0.25,0.0369,0.0318,0.0051,0.0411,0.036,0.0051,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.9412,0.9412,0.0,0.9533,0.9533,0.0
"book_en_A.Concise.Introduction.to.Linear.Algebra,.Geza.Schay,.Birkhauser,.2012_page_065",single_column,book,english,,8.75,8.62,0.13000000000000078,0.8251,0.8277,-0.0026000000000000467,9.6205,10.7819,-1.1614000000000004,1.0,1.0,0.0,,,,,,,,,,0.6857,0.6857,0.0,0.2424,0.2414,0.0010000000000000009
book_en_[搬书匠#893][Pyomo—Optimization Modeling in Python].2012.英文版_page_016,single_column,book,english,,85.9,85.67,0.23000000000000398,0.141,0.1433,-0.0023000000000000242,0.141,0.1433,-0.0023000000000000242,,,,,,,,,,,,,1.0,1.0,0.0,0.9564,0.9539,0.0025000000000000577
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0035",single_column,book,english,,87.37,87.84,-0.46999999999999886,0.1693,0.1598,0.009500000000000008,0.2444,0.2261,0.01830000000000001,0.0833,0.0833,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9626,0.9685,-0.005900000000000016
"book_en_国外数学教材-An Excursion through Elementary Mathematics（初等数学漫游）-An excursion through elementary mathematics, Vol.3 (Caminha Muniz Neto A)_0119",single_column,book,english,,85.29,85.28,0.010000000000005116,0.2942,0.2945,-0.00029999999999996696,0.343,0.3432,-0.00019999999999997797,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.7059,0.6667,0.03920000000000001,0.7664,0.7825,-0.016100000000000003
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0092,single_column,book,english,,91.97,92.0,-0.030000000000001137,0.1605,0.16,0.0005000000000000004,0.1844,0.1839,0.0005000000000000004,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.9143,0.9143,0.0,0.8877,0.89,-0.0022999999999999687
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0119,single_column,book,english,,90.3,90.41,-0.10999999999999943,0.1624,0.16,0.0023999999999999855,0.2161,0.2149,0.0011999999999999789,0.0317,0.0317,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.878,0.9028,-0.024800000000000044
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0242,single_column,book,english,,75.16,74.0,1.1599999999999966,0.2263,0.2259,0.00040000000000001146,0.4034,0.4121,-0.008700000000000041,0.2706,0.2942,-0.02360000000000001,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.8972,0.9376,-0.04039999999999999
book_en_国外数学教材-数论-Melvyn B. Nathanson—Elementary Methods in Number Theory_0363,single_column,book,english,,91.29,91.3,-0.009999999999990905,0.0802,0.0801,9.999999999998899e-05,0.0967,0.0965,0.00019999999999999185,0.094,0.094,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.8984,0.9298,-0.031399999999999983
book_zh_GB149361994_extracted_page_7,single_column,book,simplified_chinese,,55.98,57.64,-1.6600000000000037,0.3314,0.2851,0.04629999999999995,0.4086,0.3946,0.014000000000000012,0.5491,0.562,-0.012900000000000023,,,,,,,0.0,0.0,0.0,0.9286,0.9286,0.0,0.7676,0.7917,-0.02410000000000001
book_zh_GBT 50744-2011_extracted_page_67,single_column,book,simplified_chinese,,45.69,48.83,-3.1400000000000006,0.4351,0.4325,0.002599999999999991,2.1806,2.174,0.006600000000000161,0.6511,0.591,0.06010000000000004,,,,,,,0.0,0.0,0.0,0.96,0.96,0.0,0.6723,0.6916,-0.019299999999999984
book_zh_TB100782001_extracted_page_21,double_column,book,simplified_chinese,,35.96,38.11,-2.1499999999999986,0.6102,0.6058,0.0043999999999999595,2.0383,2.089,-0.05069999999999997,0.6706,0.6321,0.03849999999999998,,,,,,,0.1455,0.0363,0.10919999999999999,0.6667,0.7273,-0.06059999999999999,0.4776,0.4506,0.027000000000000024
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_004,single_column,colorful_textbook,english,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.9578,0.9589,-0.0010999999999999899
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_010,single_column,colorful_textbook,english,"table_omission_line, table_horizontal, table_span",75.36,75.51,-0.15000000000000568,0.2464,0.2449,0.0015000000000000013,0.2464,0.2449,0.0015000000000000013,,,,,,,,,,0.0,0.0,0.0,0.75,0.6667,0.08330000000000004,0.6681,0.7021,-0.03399999999999992
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_055,other_layout,colorful_textbook,english,,100.0,96.15,3.8499999999999943,0.0,0.0385,-0.0385,0.0,0.0385,-0.0385,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.916,0.9244,-0.008399999999999963
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_056,other_layout,colorful_textbook,english,"table_full_line, table_horizontal",75.0,64.13,10.870000000000005,0.0957,0.3087,-0.21299999999999997,0.0961,6.3657,-6.2696000000000005,,,,0.5957,0.5913,0.0043999999999999595,0.6,0.6,0.0,0.0444,0.0222,0.0222,0.7097,0.7742,-0.0645,0.7813,0.6465,0.13480000000000003
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语下册_课本_人教新起点英语5B电子课本_page_034,other_layout,colorful_textbook,english,,98.04,96.08,1.960000000000008,0.0196,0.0392,-0.0196,0.0196,0.0392,-0.0196,,,,,,,,,,0.0,0.0,0.0,0.625,0.5882,0.036800000000000055,0.7455,0.5692,0.1763
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语上册_课本_人教新起点英语4A电子课本_page_044,single_column,colorful_textbook,english,,43.05,71.21,-28.159999999999997,0.5695,0.2879,0.2816,0.6049,0.2879,0.317,,,,,,,,,,0.2143,0.0,0.2143,0.9091,0.9091,0.0,0.2054,0.7732,-0.5678
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点四年级英语下册_课本_人教新起点英语4B电子课本_page_087,1andmore_column,colorful_textbook,en_ch_mixed,,55.15,56.68,-1.5300000000000011,0.4485,0.4332,0.015300000000000036,0.4486,0.4332,0.015400000000000025,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.8983,0.9194,-0.021100000000000008
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET口语25分【10 褚连一】_第02讲第二课口语部分Part1详解_第二课口语部分Part1详解_page_002,other_layout,colorful_textbook,english,,57.76,56.85,0.9099999999999966,0.4224,0.4315,-0.009099999999999997,0.4772,0.467,0.010199999999999987,,,,,,,,,,0.1667,0.0953,0.07139999999999999,0.7143,0.8889,-0.17459999999999998,0.5364,0.5207,0.015699999999999936
color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET口语25分【10 褚连一】_第09讲第九课口语部分Part2模拟三_第九课口语部分Part2模拟三_page_001,other_layout,colorful_textbook,en_ch_mixed,,45.01,44.94,0.07000000000000028,0.5499,0.5506,-0.0006999999999999229,0.5499,0.5506,-0.0006999999999999229,,,,,,,,,,0.0,0.0,0.0,0.3902,0.381,0.009199999999999986,0.3512,0.332,0.019199999999999995
color_textbook_教材全解1+1二年级上册英语上海牛津版_page_067,other_layout,colorful_textbook,en_ch_mixed,"table_full_line, table_with_img, table_horizontal",87.08,89.97,-2.8900000000000006,0.1292,0.1003,0.02890000000000001,0.1294,0.1003,0.029099999999999987,,,,,,,,,,0.0439,0.0329,0.011000000000000003,0.6667,0.5882,0.07850000000000001,0.8017,0.7988,0.0029000000000000137
docstructbench_dianzishu_zhongwenzaixian-o.O-60403612.pdf_179,single_column,book,simplified_chinese,"table_horizontal, table_omission_line, table_span, table_with_formula",93.31,93.29,0.01999999999999602,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8662,0.8658,0.00039999999999995595,0.9936,0.9936,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8621,0.8682,-0.006099999999999994
docstructbench_dianzishu_zhongwenzaixian-o.O-60832903.pdf_88,single_column,magazine,english,,100.0,99.92,0.0799999999999983,0.0,0.0008,-0.0008,0.0,0.0008,-0.0008,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9483,0.9415,0.006800000000000028
docstructbench_dianzishu_zhongwenzaixian-o.O-61513005.pdf_179,other_layout,magazine,simplified_chinese,,95.66,100.0,-4.340000000000003,0.0434,0.0,0.0434,0.0452,0.0,0.0452,,,,,,,,,,0.0,0.2,-0.2,1.0,0.8,0.19999999999999996,0.9765,0.7378,0.23870000000000002
docstructbench_dianzishu_zhongwenzaixian-o.O-61518266.pdf_149,single_column,book,simplified_chinese,"table_full_line, table_horizontal, table_span",83.38,90.56,-7.180000000000007,0.243,0.0995,0.1435,0.243,0.0995,0.1435,,,,0.9106,0.9106,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8313,0.8695,-0.03820000000000001
docstructbench_dianzishu_zhongwenzaixian-o.O-61520779.pdf_76,single_column,book,simplified_chinese,"table_full_line, table_horizontal, table_span",99.91,99.56,0.3499999999999943,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9982,0.9913,0.006900000000000017,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8674,0.871,-0.0036000000000000476
docstructbench_dianzishu_zhongwenzaixian-o.O-61520814.pdf_185,other_layout,magazine,simplified_chinese,"table_omission_line, table_horizontal, table_span, table_with_formula",80.33,80.66,-0.3299999999999983,0.3594,0.3527,0.006699999999999984,0.4281,0.4152,0.012899999999999967,,,,0.9659,0.9659,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9091,0.9091,0.0,0.8288,0.8293,-0.000500000000000056
docstructbench_dianzishu_zhongwenzaixian-o.O-61521185.pdf_167,other_layout,magazine,simplified_chinese,colorful_backgroud,95.44,94.02,1.4200000000000017,0.0456,0.0598,-0.014199999999999997,0.0458,0.0598,-0.013999999999999999,,,,,,,,,,0.25,0.1667,0.08330000000000001,0.6667,0.7273,-0.06059999999999999,0.8071,0.8034,0.0037000000000000366
docstructbench_dianzishu_zhongwenzaixian-o.O-61522126.pdf_206,single_column,book,simplified_chinese,"table_horizontal, table_omission_line, table_span",92.71,92.38,0.3299999999999983,0.1314,0.1212,0.010199999999999987,0.1314,0.1212,0.010199999999999987,,,,0.9856,0.9688,0.016800000000000037,1.0,1.0,0.0,0.0,0.0,0.0,0.9412,0.9412,0.0,0.7938,0.8075,-0.013700000000000045
docstructbench_dianzishu_zhongwenzaixian-o.O-61522235.pdf_170,single_column,book,simplified_chinese,"table_horizontal, table_omission_line, table_span",91.48,94.44,-2.9599999999999937,0.1366,0.071,0.0656,0.1367,0.071,0.0657,,,,0.9662,0.9597,0.00649999999999995,1.0,1.0,0.0,0.0444,0.0,0.0444,0.8571,0.9524,-0.09530000000000005,0.8481,0.8466,0.0014999999999999458
docstructbench_dianzishu_zhongwenzaixian-o.O-63678132.pdf_161,1andmore_column,book,simplified_chinese,,59.87,60.42,-0.5500000000000043,0.4013,0.3958,0.005500000000000005,0.4985,0.4737,0.02479999999999999,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9353,0.9608,-0.025499999999999967
docstructbench_dianzishu_zhongwenzaixian-o.O-63684502.pdf_263,single_column,book,simplified_chinese,"table_horizontal, table_omission_line",95.19,92.52,2.6700000000000017,0.0798,0.1217,-0.04190000000000001,0.0798,0.1217,-0.04190000000000001,,,,0.9837,0.972,0.011700000000000044,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.929,0.9302,-0.0011999999999999789
docstructbench_dianzishu_zhongwenzaixian-o.O-63685611.pdf_222,double_column,book,simplified_chinese,,75.7,80.98,-5.280000000000001,0.243,0.1902,0.052799999999999986,0.2727,0.2081,0.06459999999999999,,,,,,,,,,0.0,0.0,0.0,0.9333,0.9333,0.0,0.9563,0.9543,0.0020000000000000018
docstructbench_dianzishu_zhongwenzaixian-o.O-63686436.pdf_57,1andmore_column,magazine,simplified_chinese,,91.22,91.97,-0.75,0.0878,0.0803,0.007500000000000007,0.1061,0.0984,0.0076999999999999985,,,,,,,,,,0.0,0.0086,-0.0086,0.9565,0.913,0.04349999999999998,0.8411,0.8311,0.010000000000000009
docstructbench_dianzishu_zhongwenzaixian-o.O-63687685.pdf_106,other_layout,magazine,simplified_chinese,,93.43,95.34,-1.9099999999999966,0.0657,0.0466,0.019099999999999992,0.0662,0.0466,0.019599999999999992,,,,,,,,,,0.0555,0.0555,0.0,0.8421,0.8421,0.0,0.8543,0.8937,-0.0394000000000001
docstructbench_dianzishu_zhongwenzaixian-o.O-63688043.pdf_110,single_column,book,simplified_chinese,"table_fewer_line, table_horizontal",79.78,79.36,0.4200000000000017,0.0697,0.0593,0.0104,0.07,0.0593,0.010700000000000008,,,,0.6653,0.6465,0.01880000000000004,0.8966,0.6897,0.20689999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.91,0.9403,-0.030299999999999994
docstructbench_dianzishu_zhongwenzaixian-o.O-63688445.pdf_489,single_column,book,simplified_chinese,"table_full_line, table_horizontal, table_span",85.75,88.32,-2.569999999999993,0.1425,0.1168,0.025699999999999987,0.1425,0.1168,0.025699999999999987,,,,,,,,,,0.0,0.0,0.0,0.8462,0.8462,0.0,0.9111,0.9278,-0.016699999999999937
docstructbench_enbook-zlib-o.O-17208435.pdf_105,three_column,book,english,,2.47,2.38,0.0900000000000003,0.9753,0.9762,-0.0009000000000000119,0.9753,0.9762,-0.0009000000000000119,,,,,,,,,,,,,0.0321,0.0317,0.0003999999999999976,0.0142,0.0218,-0.007599999999999999
docstructbench_llm-raw-scihub-o.O-ana.20363.pdf_5,double_column,academic_literature,english,,99.09,99.08,0.010000000000005116,0.0091,0.0092,-9.99999999999994e-05,0.0092,0.0092,0.0,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9572,0.9573,-9.999999999998899e-05
docstructbench_llm-raw-scihub-o.O-chem.200700285.pdf_4,1andmore_column,academic_literature,english,"table_fewer_line, table_with_formula, table_horizontal",87.58,86.0,1.5799999999999983,0.009,0.009,0.0,0.009,0.009,0.0,,,,0.7606,0.7289,0.03170000000000006,0.95,0.95,0.0,0.0555,0.0555,0.0,0.8421,0.8421,0.0,0.8869,0.9035,-0.016599999999999948
docstructbench_llm-raw-scihub-o.O-dvdy.10165.pdf_7,double_column,academic_literature,english,,98.77,99.05,-0.28000000000000114,0.0123,0.0095,0.0028000000000000004,0.0123,0.0096,0.002700000000000001,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9086,0.9086,0.0
docstructbench_llm-raw-scihub-o.O-hup.908.pdf_5,double_column,academic_literature,english,"table_fewer_line, table_horizontal",97.91,78.41,19.5,0.0128,0.0159,-0.0031000000000000003,0.013,0.0162,-0.0031999999999999997,,,,0.9711,0.584,0.3871,1.0,0.68,0.31999999999999995,0.0,0.0,0.0,1.0,1.0,0.0,0.8977,0.9024,-0.0046999999999999265
docstructbench_llm-raw-scihub-o.O-hyp.1040.pdf_9,single_column,academic_literature,english,,66.63,48.98,17.65,0.3337,0.5102,-0.1765,0.3337,0.7037,-0.37,,,,,,,,,,0.0,0.0,0.0,0.8889,0.8889,0.0,0.9267,0.9368,-0.010099999999999998
docstructbench_llm-raw-scihub-o.O-ijc.22820.pdf_4,double_column,academic_literature,english,,97.92,97.86,0.060000000000002274,0.0208,0.0214,-0.0005999999999999998,0.0208,0.0214,-0.0005999999999999998,,,,,,,,,,0.0,0.0,0.0,1.0,0.8333,0.16669999999999996,0.8728,0.8691,0.0037000000000000366
docstructbench_llm-raw-scihub-o.O-j.1365-2818.2000.00739.x.pdf_4,other_layout,academic_literature,english,,76.28,92.55,-16.269999999999996,0.2372,0.0745,0.1627,0.2372,0.0745,0.1627,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9566,0.9605,-0.0039000000000000146
docstructbench_llm-raw-scihub-o.O-j.apcata.2004.01.008.pdf_6,double_column,academic_literature,english,,97.7,97.78,-0.0799999999999983,0.023,0.0222,0.0007999999999999986,0.0242,0.0234,0.0007999999999999986,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.8641,0.8823,-0.018199999999999994
docstructbench_llm-raw-scihub-o.O-j.apcata.2006.05.010.pdf_2,double_column,academic_literature,english,,77.52,77.71,-0.18999999999999773,0.2248,0.2229,0.0019000000000000128,0.4736,0.4707,0.0029000000000000137,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9385,0.9448,-0.006299999999999972
docstructbench_llm-raw-scihub-o.O-j.msec.2003.09.055.pdf_1,1andmore_column,academic_literature,english,,83.17,88.42,-5.25,0.1683,0.1158,0.052500000000000005,0.4167,0.3494,0.06730000000000003,,,,,,,,,,0.0,0.0,0.0,0.8276,0.8276,0.0,0.8306,0.8444,-0.013800000000000034
docstructbench_llm-raw-scihub-o.O-j.msec.2005.01.019.pdf_4,double_column,academic_literature,english,,98.33,98.35,-0.01999999999999602,0.0167,0.0165,0.0001999999999999988,0.0167,0.0165,0.0001999999999999988,,,,,,,,,,0.0444,0.0,0.0444,0.88,0.8462,0.03380000000000005,0.7104,0.8941,-0.18369999999999997
docstructbench_llm-raw-scihub-o.O-s00128-009-9752-2.pdf_5,double_column,academic_literature,english,,98.37,98.58,-0.20999999999999375,0.0163,0.0142,0.0020999999999999977,0.0164,0.0143,0.002100000000000001,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.963,-0.013000000000000012
docstructbench_llm-raw-scihub-o.O-s00348-005-0004-x.pdf_3,double_column,academic_literature,english,,98.9,99.07,-0.1699999999999875,0.011,0.0093,0.0017000000000000001,0.011,0.0093,0.0017000000000000001,,,,,,,,,,0.0,0.0,0.0,0.9744,0.9744,0.0,0.8798,0.9043,-0.024499999999999966
docstructbench_llm-raw-scihub-o.O-s00374-003-0583-8.pdf_1,other_layout,academic_literature,english,,96.03,96.94,-0.9099999999999966,0.0397,0.0306,0.0091,0.0466,0.0375,0.009100000000000004,,,,,,,,,,0.0,0.0,0.0,0.8889,0.8889,0.0,0.8567,0.8676,-0.01090000000000002
docstructbench_llm-raw-scihub-o.O-s10653-010-9369-8.pdf_11,1andmore_column,academic_literature,english,"table_fewer_line, table_horizontal, table_with_formula, table_span",98.25,97.85,0.4000000000000057,0.021,0.027,-0.005999999999999998,0.0218,0.0289,-0.007099999999999999,,,,0.986,0.9841,0.0019000000000000128,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9164,0.9196,-0.0031999999999999806
docstructbench_llm-raw-the-eye-o.O-1995_2418.pdf_1,three_column,academic_literature,english,"table_omission_line, table_horizontal",65.62,65.81,-0.18999999999999773,0.0404,0.0373,0.0030999999999999986,0.0405,0.0373,0.0032000000000000015,,,,0.3527,0.3536,-0.0009000000000000119,0.4545,0.4545,0.0,0.0,0.0,0.0,0.9787,0.9787,0.0,0.9352,0.935,0.00019999999999997797
docstructbench_llm-raw-the-eye-o.O-Attitudes_Towards_Rainwater_Harvesting_1999.pdf_5,single_column,academic_literature,english,,97.55,97.41,0.14000000000000057,0.0245,0.0259,-0.0013999999999999985,0.0288,0.0302,-0.001400000000000002,,,,,,,,,,0.0,0.0,0.0,0.9474,0.9474,0.0,0.8095,0.8421,-0.03259999999999996
